image_id,predicted_class,actual_class,confidence,correct
10_9_s,10,10,0.949886948957884,True
12_26_s,10,12,0.9235489902366434,False
5_17_s,10,5,0.9185487393007926,False
1_8_s,10,1,0.917018022685408,False
12_22_s,10,12,0.9125235188019403,False
1_28_s,10,1,0.9091916473120841,False
5_18_s,10,5,0.908776297018056,False
12_5_s,10,12,0.9072163750018136,False
9_13_s,10,9,0.9032194474942343,False
9_25_s,10,9,0.9030689648866367,False
5_22_s,10,5,0.9016847955671334,False
9_24_s,10,9,0.9004734631143617,False
10_4_s,10,10,0.8985113448712209,True
9_1_s,10,9,0.8974098593955023,False
10_23_s,10,10,0.8940493733279019,True
12_28_s,10,12,0.9823866256436219,False
5_8_s,10,5,0.9706106506570531,False
11_9_s,10,11,0.9682463202277407,False
12_15_s,10,12,0.9674163524965744,False
12_16_s,10,12,0.9431302986063125,False
15_22_s,10,15,0.9352430799956298,False
6_13_s,10,6,0.9303997969265212,False
12_17_s,10,12,0.9283670373219475,False
14_14_s,10,14,0.9185781794764023,False
13_6_s,10,13,0.913792030597075,False
6_9_s,10,6,0.9122043736604881,False
10_30_s,10,10,0.9108498342529566,True
15_14_s,10,15,0.9089056487187117,False
12_26_s,10,12,0.9074097037340747,False
11_5_s,10,11,0.9003621070115744,False
12_12_s,10,12,0.9832369307883506,False
10_14_s,10,10,0.9779773465846422,True
10_16_s,10,10,0.976928324857606,True
16_17_s,10,16,0.9760478695954569,False
6_26_s,10,6,0.9696752632396604,False
4_11_s,10,4,0.9691367422495102,False
11_25_s,10,11,0.9689470063020895,False
13_9_s,10,13,0.9646898193117276,False
4_14_s,10,4,0.963156229491109,False
19_28_s,10,19,0.9615934082764763,False
4_16_s,10,4,0.9610431867428567,False
1_13_s,10,1,0.9597143179812773,False
8_19_s,10,8,0.9584245333045116,False
14_25_s,10,14,0.9581615616956947,False
4_15_s,10,4,0.95718152962689,False
14_25_s,10,14,0.9756899778869115,False
13_9_s,10,13,0.9643018393705813,False
6_20_s,10,6,0.9610302132833586,False
11_25_s,10,11,0.9592106195951565,False
7_19_s,10,7,0.9577932866565022,False
10_16_s,10,10,0.9573121489401156,True
13_27_s,10,13,0.955365030773427,False
15_20_s,10,15,0.9551212156372181,False
16_18_s,10,16,0.9518760075368576,False
13_17_s,10,13,0.9516910439360572,False
18_7_s,10,18,0.9510933002499812,False
16_17_s,10,16,0.9505383587848464,False
10_14_s,10,10,0.9486496288265988,True
7_9_s,10,7,0.9483191189111148,False
15_21_s,10,15,0.9481538351401972,False
16_17_s,10,16,0.9899579006718082,False
10_16_s,10,10,0.9817533306615176,True
13_9_s,10,13,0.981484172846037,False
12_12_s,10,12,0.9784319815656841,False
10_12_s,10,10,0.9779773465846422,True
8_19_s,10,8,0.9696418565864015,False
14_25_s,10,14,0.9666014986639546,False
11_25_s,10,11,0.9663830990589137,False
6_26_s,10,6,0.9653706067584553,False
8_13_s,10,8,0.9606736607562647,False
4_14_s,10,4,0.9599005358723608,False
4_16_s,10,4,0.9595349753362191,False
13_7_s,10,13,0.9586780533649286,False
6_20_s,10,6,0.9586038361982978,False
4_11_s,10,4,0.9583038762667491,False
3_7_s,10,3,0.9903416153065209,False
4_30_s,10,4,0.9832788363055396,False
10_17_s,10,10,0.9827119790072703,True
4_14_s,10,4,0.9785121960168862,False
3_21_s,10,3,0.975870161712051,False
6_26_s,10,6,0.9739511286610537,False
3_8_s,10,3,0.972346003545585,False
17_2_s,10,17,0.9721028327754853,False
4_12_s,10,4,0.97177782519742,False
4_16_s,10,4,0.9712151239612603,False
4_11_s,10,4,0.9702984408734954,False
10_2_s,10,10,0.969857490699192,True
4_15_s,10,4,0.968994188073632,False
11_7_s,10,11,0.9680288709969451,False
19_15_s,10,19,0.9679040504331954,False
16_17_s,10,16,0.9854668612112251,False
13_9_s,10,13,0.9830675330444191,False
11_25_s,10,11,0.9827014295822579,False
10_14_s,10,10,0.9817533306615176,True
14_25_s,10,14,0.9797839892424933,False
10_12_s,10,10,0.976928324857606,True
12_12_s,10,12,0.976066989815906,False
6_26_s,10,6,0.966077742579583,False
4_15_s,10,4,0.9657358499756588,False
19_28_s,10,19,0.9647416368701046,False
4_11_s,10,4,0.964476420689841,False
13_17_s,10,13,0.962318707879983,False
8_19_s,10,8,0.9621437796881221,False
6_20_s,10,6,0.9621325330026249,False
8_13_s,10,8,0.9620956196435497,False
3_21_s,10,3,0.9904139524505646,False
17_2_s,10,17,0.9881469257777747,False
4_12_s,10,4,0.9860050034284275,False
4_30_s,10,4,0.9840278261049225,False
19_15_s,10,19,0.9835038066118124,False
10_15_s,10,10,0.9827119790072703,True
3_8_s,10,3,0.9818515289238233,False
12_31_s,10,12,0.9815052564667386,False
3_7_s,10,3,0.978958165537509,False
4_17_s,10,4,0.9784900242847231,False
4_15_s,10,4,0.9784896971590619,False
10_2_s,10,10,0.9748450820908872,True
12_33_s,10,12,0.974149201186811,False
16_27_s,10,16,0.9732079617972575,False
