query_index,query_id,query_class,rank,candidate_id,candidate_class,precision,recall
177,15_7_s,15,1,15_9_s,15,1.0,0.043478260869565216
177,15_7_s,15,2,15_13_s,15,1.0,0.08695652173913043
177,15_7_s,15,3,15_24_s,15,1.0,0.13043478260869565
177,15_7_s,15,4,14_24_s,14,0.75,0.13043478260869565
177,15_7_s,15,5,12_2_s,12,0.6,0.13043478260869565
177,15_7_s,15,6,15_11_s,15,0.6666666666666666,0.17391304347826086
177,15_7_s,15,7,12_10_s,12,0.5714285714285714,0.17391304347826086
177,15_7_s,15,8,8_24_s,8,0.5,0.17391304347826086
177,15_7_s,15,9,8_2_s,8,0.4444444444444444,0.17391304347826086
177,15_7_s,15,10,8_23_s,8,0.4,0.17391304347826086
177,15_7_s,15,11,7_12_s,7,0.36363636363636365,0.17391304347826086
177,15_7_s,15,12,8_6_s,8,0.3333333333333333,0.17391304347826086
177,15_7_s,15,13,18_1_s,18,0.3076923076923077,0.17391304347826086
177,15_7_s,15,14,7_24_s,7,0.2857142857142857,0.17391304347826086
177,15_7_s,15,15,14_27_s,14,0.26666666666666666,0.17391304347826086
177,15_7_s,15,16,15_10_s,15,0.3125,0.21739130434782608
177,15_7_s,15,17,7_3_s,7,0.29411764705882354,0.21739130434782608
177,15_7_s,15,18,8_15_s,8,0.2777777777777778,0.21739130434782608
177,15_7_s,15,19,19_4_s,19,0.2631578947368421,0.21739130434782608
177,15_7_s,15,20,3_5_s,3,0.25,0.21739130434782608
217,17_17_s,17,1,17_15_s,17,1.0,0.034482758620689655
217,17_17_s,17,2,19_1_s,19,0.5,0.034482758620689655
217,17_17_s,17,3,19_5_s,19,0.3333333333333333,0.034482758620689655
217,17_17_s,17,4,2_15_s,2,0.25,0.034482758620689655
217,17_17_s,17,5,17_16_s,17,0.4,0.06896551724137931
217,17_17_s,17,6,17_19_s,17,0.5,0.10344827586206896
217,17_17_s,17,7,17_21_s,17,0.5714285714285714,0.13793103448275862
217,17_17_s,17,8,17_10_s,17,0.625,0.1724137931034483
217,17_17_s,17,9,15_17_s,15,0.5555555555555556,0.1724137931034483
217,17_17_s,17,10,2_24_s,2,0.5,0.1724137931034483
217,17_17_s,17,11,3_28_s,3,0.45454545454545453,0.1724137931034483
217,17_17_s,17,12,2_20_s,2,0.4166666666666667,0.1724137931034483
217,17_17_s,17,13,4_22_s,4,0.38461538461538464,0.1724137931034483
217,17_17_s,17,14,17_26_s,17,0.42857142857142855,0.20689655172413793
217,17_17_s,17,15,2_7_s,2,0.4,0.20689655172413793
217,17_17_s,17,16,2_26_s,2,0.375,0.20689655172413793
217,17_17_s,17,17,16_13_s,16,0.35294117647058826,0.20689655172413793
217,17_17_s,17,18,3_21_s,3,0.3333333333333333,0.20689655172413793
217,17_17_s,17,19,2_25_s,2,0.3157894736842105,0.20689655172413793
217,17_17_s,17,20,3_30_s,3,0.3,0.20689655172413793
502,7_11_s,7,1,7_5_s,7,1.0,0.034482758620689655
502,7_11_s,7,2,7_1_s,7,1.0,0.06896551724137931
502,7_11_s,7,3,6_2_s,6,0.6666666666666666,0.06896551724137931
502,7_11_s,7,4,7_24_s,7,0.75,0.10344827586206896
502,7_11_s,7,5,19_25_s,19,0.6,0.10344827586206896
502,7_11_s,7,6,8_28_s,8,0.5,0.10344827586206896
502,7_11_s,7,7,8_26_s,8,0.42857142857142855,0.10344827586206896
502,7_11_s,7,8,19_13_s,19,0.375,0.10344827586206896
502,7_11_s,7,9,15_23_s,15,0.3333333333333333,0.10344827586206896
502,7_11_s,7,10,14_13_s,14,0.3,0.10344827586206896
502,7_11_s,7,11,6_15_s,6,0.2727272727272727,0.10344827586206896
502,7_11_s,7,12,19_26_s,19,0.25,0.10344827586206896
502,7_11_s,7,13,19_3_s,19,0.23076923076923078,0.10344827586206896
502,7_11_s,7,14,5_21_s,5,0.21428571428571427,0.10344827586206896
502,7_11_s,7,15,7_20_s,7,0.26666666666666666,0.13793103448275862
502,7_11_s,7,16,7_17_s,7,0.3125,0.1724137931034483
502,7_11_s,7,17,19_21_s,19,0.29411764705882354,0.1724137931034483
502,7_11_s,7,18,8_23_s,8,0.2777777777777778,0.1724137931034483
502,7_11_s,7,19,16_22_s,16,0.2631578947368421,0.1724137931034483
502,7_11_s,7,20,19_17_s,19,0.25,0.1724137931034483
385,3_14_s,3,1,6_14_s,6,0.0,0.0
385,3_14_s,3,2,15_24_s,15,0.0,0.0
385,3_14_s,3,3,8_26_s,8,0.0,0.0
385,3_14_s,3,4,14_5_s,14,0.0,0.0
385,3_14_s,3,5,8_28_s,8,0.0,0.0
385,3_14_s,3,6,16_22_s,16,0.0,0.0
385,3_14_s,3,7,16_27_s,16,0.0,0.0
385,3_14_s,3,8,15_23_s,15,0.0,0.0
385,3_14_s,3,9,16_21_s,16,0.0,0.0
385,3_14_s,3,10,8_9_s,8,0.0,0.0
385,3_14_s,3,11,6_2_s,6,0.0,0.0
385,3_14_s,3,12,7_24_s,7,0.0,0.0
385,3_14_s,3,13,7_3_s,7,0.0,0.0
385,3_14_s,3,14,8_27_s,8,0.0,0.0
385,3_14_s,3,15,19_22_s,19,0.0,0.0
385,3_14_s,3,16,8_2_s,8,0.0,0.0
385,3_14_s,3,17,14_16_s,14,0.0,0.0
385,3_14_s,3,18,19_21_s,19,0.0,0.0
385,3_14_s,3,19,18_1_s,18,0.0,0.0
385,3_14_s,3,20,14_13_s,14,0.0,0.0
185,16_15_s,16,1,8_13_s,8,0.0,0.0
185,16_15_s,16,2,15_21_s,15,0.0,0.0
185,16_15_s,16,3,14_22_s,14,0.0,0.0
185,16_15_s,16,4,16_2_s,16,0.25,0.034482758620689655
185,16_15_s,16,5,16_16_s,16,0.4,0.06896551724137931
185,16_15_s,16,6,3_5_s,3,0.3333333333333333,0.06896551724137931
185,16_15_s,16,7,8_10_s,8,0.2857142857142857,0.06896551724137931
185,16_15_s,16,8,8_28_s,8,0.25,0.06896551724137931
185,16_15_s,16,9,8_27_s,8,0.2222222222222222,0.06896551724137931
185,16_15_s,16,10,8_1_s,8,0.2,0.06896551724137931
185,16_15_s,16,11,15_24_s,15,0.18181818181818182,0.06896551724137931
185,16_15_s,16,12,8_9_s,8,0.16666666666666666,0.06896551724137931
185,16_15_s,16,13,9_29_s,9,0.15384615384615385,0.06896551724137931
185,16_15_s,16,14,15_23_s,15,0.14285714285714285,0.06896551724137931
185,16_15_s,16,15,7_21_s,7,0.13333333333333333,0.06896551724137931
185,16_15_s,16,16,16_22_s,16,0.1875,0.10344827586206896
185,16_15_s,16,17,12_1_s,12,0.17647058823529413,0.10344827586206896
185,16_15_s,16,18,6_6_s,6,0.16666666666666666,0.10344827586206896
185,16_15_s,16,19,14_16_s,14,0.15789473684210525,0.10344827586206896
185,16_15_s,16,20,8_23_s,8,0.15,0.10344827586206896
54,11_30_s,11,1,12_4_s,12,0.0,0.0
54,11_30_s,11,2,14_24_s,14,0.0,0.0
54,11_30_s,11,3,18_7_s,18,0.0,0.0
54,11_30_s,11,4,18_8_s,18,0.0,0.0
54,11_30_s,11,5,19_4_s,19,0.0,0.0
54,11_30_s,11,6,8_2_s,8,0.0,0.0
54,11_30_s,11,7,15_10_s,15,0.0,0.0
54,11_30_s,11,8,7_21_s,7,0.0,0.0
54,11_30_s,11,9,20_11_s,20,0.0,0.0
54,11_30_s,11,10,15_11_s,15,0.0,0.0
54,11_30_s,11,11,7_3_s,7,0.0,0.0
54,11_30_s,11,12,7_24_s,7,0.0,0.0
54,11_30_s,11,13,7_12_s,7,0.0,0.0
54,11_30_s,11,14,14_27_s,14,0.0,0.0
54,11_30_s,11,15,8_26_s,8,0.0,0.0
54,11_30_s,11,16,8_28_s,8,0.0,0.0
54,11_30_s,11,17,18_1_s,18,0.0,0.0
54,11_30_s,11,18,15_23_s,15,0.0,0.0
54,11_30_s,11,19,8_27_s,8,0.0,0.0
54,11_30_s,11,20,19_21_s,19,0.0,0.0
408,3_7_s,3,1,16_27_s,16,0.0,0.0
408,3_7_s,3,2,16_22_s,16,0.0,0.0
408,3_7_s,3,3,5_9_s,5,0.0,0.0
408,3_7_s,3,4,6_2_s,6,0.0,0.0
408,3_7_s,3,5,16_21_s,16,0.0,0.0
408,3_7_s,3,6,5_12_s,5,0.0,0.0
408,3_7_s,3,7,14_16_s,14,0.0,0.0
408,3_7_s,3,8,17_3_s,17,0.0,0.0
408,3_7_s,3,9,19_21_s,19,0.0,0.0
408,3_7_s,3,10,14_23_s,14,0.0,0.0
408,3_7_s,3,11,19_22_s,19,0.0,0.0
