query_index,query_id,query_class,rank,candidate_id,candidate_class,precision,recall
394,3_22_s,3,1,8_26_s,8,0.0,0.0
394,3_22_s,3,2,16_6_s,16,0.0,0.0
394,3_22_s,3,3,15_5_s,15,0.0,0.0
394,3_22_s,3,4,15_4_s,15,0.0,0.0
394,3_22_s,3,5,18_23_s,18,0.0,0.0
394,3_22_s,3,6,15_6_s,15,0.0,0.0
394,3_22_s,3,7,12_10_s,12,0.0,0.0
394,3_22_s,3,8,8_24_s,8,0.0,0.0
394,3_22_s,3,9,3_23_s,3,0.1111111111111111,0.034482758620689655
394,3_22_s,3,10,20_11_s,20,0.1,0.034482758620689655
394,3_22_s,3,11,7_20_s,7,0.09090909090909091,0.034482758620689655
394,3_22_s,3,12,3_18_s,3,0.16666666666666666,0.06896551724137931
394,3_22_s,3,13,11_22_s,11,0.15384615384615385,0.06896551724137931
394,3_22_s,3,14,7_12_s,7,0.14285714285714285,0.06896551724137931
394,3_22_s,3,15,6_27_s,6,0.13333333333333333,0.06896551724137931
384,3_13_s,3,1,12_11_s,12,0.0,0.0
384,3_13_s,3,2,15_23_s,15,0.0,0.0
384,3_13_s,3,3,13_29_s,13,0.0,0.0
384,3_13_s,3,4,8_19_s,8,0.0,0.0
384,3_13_s,3,5,11_7_s,11,0.0,0.0
384,3_13_s,3,6,12_34_s,12,0.0,0.0
384,3_13_s,3,7,4_16_s,4,0.0,0.0
384,3_13_s,3,8,3_25_s,3,0.125,0.034482758620689655
384,3_13_s,3,9,3_11_s,3,0.2222222222222222,0.06896551724137931
384,3_13_s,3,10,4_18_s,4,0.2,0.06896551724137931
384,3_13_s,3,11,11_15_s,11,0.18181818181818182,0.06896551724137931
384,3_13_s,3,12,12_32_s,12,0.16666666666666666,0.06896551724137931
384,3_13_s,3,13,4_14_s,4,0.15384615384615385,0.06896551724137931
384,3_13_s,3,14,11_30_s,11,0.14285714285714285,0.06896551724137931
384,3_13_s,3,15,9_11_s,9,0.13333333333333333,0.06896551724137931
487,6_25_s,6,1,8_8_s,8,0.0,0.0
487,6_25_s,6,2,6_17_s,6,0.5,0.034482758620689655
487,6_25_s,6,3,6_18_s,6,0.6666666666666666,0.06896551724137931
487,6_25_s,6,4,6_24_s,6,0.75,0.10344827586206896
487,6_25_s,6,5,16_11_s,16,0.6,0.10344827586206896
487,6_25_s,6,6,8_11_s,8,0.5,0.10344827586206896
487,6_25_s,6,7,8_23_s,8,0.42857142857142855,0.10344827586206896
487,6_25_s,6,8,14_4_s,14,0.375,0.10344827586206896
487,6_25_s,6,9,8_10_s,8,0.3333333333333333,0.10344827586206896
487,6_25_s,6,10,6_30_s,6,0.4,0.13793103448275862
487,6_25_s,6,11,7_23_s,7,0.36363636363636365,0.13793103448275862
487,6_25_s,6,12,3_2_s,3,0.3333333333333333,0.13793103448275862
487,6_25_s,6,13,16_14_s,16,0.3076923076923077,0.13793103448275862
487,6_25_s,6,14,17_17_s,17,0.2857142857142857,0.13793103448275862
487,6_25_s,6,15,19_11_s,19,0.26666666666666666,0.13793103448275862
247,18_17_s,18,1,4_1_s,4,0.0,0.0
247,18_17_s,18,2,17_15_s,17,0.0,0.0
247,18_17_s,18,3,17_18_s,17,0.0,0.0
247,18_17_s,18,4,4_22_s,4,0.0,0.0
247,18_17_s,18,5,12_3_s,12,0.0,0.0
247,18_17_s,18,6,6_14_s,6,0.0,0.0
247,18_17_s,18,7,4_20_s,4,0.0,0.0
247,18_17_s,18,8,14_29_s,14,0.0,0.0
247,18_17_s,18,9,3_20_s,3,0.0,0.0
247,18_17_s,18,10,17_23_s,17,0.0,0.0
247,18_17_s,18,11,17_16_s,17,0.0,0.0
247,18_17_s,18,12,15_12_s,15,0.0,0.0
